Year,Month,Landfill,Trips,Tonnage,Month_Number,Quarter,Festive_Period,Population_Density,Landfill_Encoded
2021,APR,Ikorodu,17203,176575,,,0,11000,3
2021,MAY,Olusosun,9124,101204,5.0,2.0,0,15000,4
2021,MAY,Abule-Egba,4841,44285,5.0,2.0,0,12000,0
2021,MAY,Solous,140,1260,5.0,2.0,0,13000,5
2021,MAY,Badagry,1417,16914.5,5.0,2.0,0,8000,1
2021,MAY,Epe,1390,13684,5.0,2.0,0,7000,2
2021,MAY,Ikorodu,16912,177347.5,5.0,2.0,0,11000,3
2021,JUN,Olusosun,12399,134498,,,0,15000,4
2021,JUN,Abule-Egba,7264,66476,,,0,12000,0
2021,JUN,Solous,205,1845,,,0,13000,5
2021,JUN,Badagry,2127,24109,,,0,8000,1
2021,JUN,Epe,2030,19395,,,0,7000,2
2021,JUN,Ikorodu,24025,250337,,,0,11000,3
2021,JUL,Olusosun,8521,94152,,,0,15000,4
2021,JUL,Abule-Egba,4914,44996,,,0,12000,0
2021,JUL,Solous,141,1269,,,0,13000,5
2021,JUL,Badagry,1355,15676.5,,,0,8000,1
2021,JUL,Epe,1355,13055,,,0,7000,2
2021,JUL,Ikorodu,16286,169148.5,,,0,11000,3
2021,AUG,Olusosun,8940,98647.5,,,0,15000,4
2021,AUG,Abule-Egba,4649,42709,,,0,12000,0
2021,AUG,Solous,101,909,,,0,13000,5
2021,AUG,Badagry,1346,14683,,,0,8000,1
2021,AUG,Epe,1431,13657,,,0,7000,2
2021,AUG,Ikorodu,16467,170605,,,0,11000,3
2021,SEP,Olusosun,8496,92911.5,,,0,15000,4
2021,SEP,Abule-Egba,4426,40343,,,0,12000,0
2021,SEP,Solous,99,855,,,0,13000,5
2021,SEP,Badagry,1407,16276,,,0,8000,1
2021,SEP,Epe,1341,12628,,,0,7000,2
2021,SEP,Ikorodu,15769,163013,,,0,11000,3
2021,OCT,Olusosun,9110,81990,,,0,15000,4
2021,OCT,Abule-Egba,4796,43164,,,0,12000,0
2021,OCT,Solous,91,819,,,0,13000,5
2021,OCT,Badagry,1395,12555,,,0,8000,1
2021,OCT,Epe,1235,11115,,,0,7000,2
2021,OCT,Ikorodu,16627,149643,,,0,11000,3
2022,JAN,Olusosun,10689,103307.5,,,0,15000,4
2022,JAN,Abule-Egba,4955,45583,,,0,12000,0
2022,JAN,Solous,107,963,,,0,13000,5
2022,JAN,Badagry,1351,12973,,,0,8000,1
2022,JAN,Epe,1232,12003.5,,,0,7000,2
2022,JAN,Ikorodu,18334,174830,,,0,11000,3
2022,FEB,Olusosun,10015,96625,,,0,15000,4
2022,FEB,Abule-Egba,4457,40611,,,0,12000,0
2022,FEB,Solous,105,945,,,0,13000,5
2022,FEB,Badagry,1215,12192,,,0,8000,1
2022,FEB,Epe,1091,10623.5,,,0,7000,2
2022,FEB,Ikorodu,16883,160996.5,,,0,11000,3
2022,MAR,Olusosun,11114,107197,,,0,15000,4
2022,MAR,Abule-Egba,4922,45197,,,0,12000,0
2022,MAR,Solous,129,1191,,,0,13000,5
2022,MAR,Badagry,1439,14086,,,0,8000,1
2022,MAR,Epe,1231,11950,,,0,7000,2
2022,MAR,Ikorodu,18835,179621,,,0,11000,3
2022,APR,Olusosun,9155,88255,,,0,15000,4
2022,APR,Abule-Egba,4073,36914,,,0,12000,0
2022,APR,Solous,109,981,,,0,13000,5
2022,APR,Badagry,1179,11558,,,0,8000,1
2022,APR,Epe,1155,11071,,,0,7000,2
2022,APR,Ikorodu,15671,148779,,,0,11000,3
2022,MAY,Olusosun,8843,85309,5.0,2.0,0,15000,4
2022,MAY,Abule-Egba,4722,42743,5.0,2.0,0,12000,0
2022,MAY,Solous,94,856,5.0,2.0,0,13000,5
2022,MAY,Badagry,1347,13101,5.0,2.0,0,8000,1
2022,MAY,Epe,1210,11692.5,5.0,2.0,0,7000,2
2022,MAY,Ikorodu,16216,153701.5,5.0,2.0,0,11000,3
2022,JUN,Olusosun,8994,85686,,,0,15000,4
2022,JUN,Abule-Egba,3774,34211,,,0,12000,0
2022,JUN,Solous,101,909,,,0,13000,5
2022,JUN,Badagry,1415,13621,,,0,8000,1
2022,JUN,Epe,1430,13665.5,,,0,7000,2
2022,JUN,Ikorodu,15714,148092.5,,,0,11000,3
2022,JUL,Olusosun,6891,64768,,,0,15000,4
2022,JUL,Abule-Egba,4269,38806,,,0,12000,0
2022,JUL,Solous,110,990,,,0,13000,5
2022,JUL,Badagry,1704,16255,,,0,8000,1
